2026-07-18T20:31:43+00:00 tsp supervisor launch attempt 1
tsp_external tsplib/brazil58 train seed=3: SOLVED 0.042952s
tsp_external tsplib/brazil58 train seed=4: SOLVED 0.041891s
tsp_external tsplib/brazil58 train seed=5: SOLVED 0.042671s
tsp_external tsplib/brazil58 train seed=6: SOLVED 0.042671s
tsp_external tsplib/brazil58 train seed=7: SOLVED 0.043801s
tsp_external tsplib/brg180 train seed=1: SOLVED 1.080596s
tsp_external tsplib/brg180 train seed=2: SOLVED 0.234762s
tsp_external tsplib/brg180 train seed=3: SOLVED 0.207066s
tsp_external tsplib/brg180 train seed=4: SOLVED 0.174101s
tsp_external tsplib/brg180 train seed=5: SOLVED 0.771602s
tsp_external tsplib/brg180 train seed=6: SOLVED 0.946392s
tsp_external tsplib/brg180 train seed=7: SOLVED 0.748200s
tsp_external tsplib/burma14 train seed=1: SOLVED 0.004638s
tsp_external tsplib/burma14 train seed=2: SOLVED 0.004631s
tsp_external tsplib/burma14 train seed=3: SOLVED 0.004782s
tsp_external tsplib/burma14 train seed=4: SOLVED 0.004547s
tsp_external tsplib/burma14 train seed=5: SOLVED 0.004712s
tsp_external tsplib/burma14 train seed=6: SOLVED 0.004794s
tsp_external tsplib/burma14 train seed=7: SOLVED 0.004703s
tsp_external tsplib/ch130 train seed=1: SOLVED 0.114125s
tsp_external tsplib/ch130 train seed=2: SOLVED 0.105608s
tsp_external tsplib/ch130 train seed=3: SOLVED 0.124692s
tsp_external tsplib/ch130 train seed=4: SOLVED 0.118307s
tsp_external tsplib/ch130 train seed=5: SOLVED 0.113615s
tsp_external tsplib/ch130 train seed=6: SOLVED 0.094930s
tsp_external tsplib/ch130 train seed=7: SOLVED 0.128759s
tsp_external tsplib/ch150 train seed=1: SOLVED 0.310045s
tsp_external tsplib/ch150 train seed=2: SOLVED 0.160308s
tsp_external tsplib/ch150 train seed=3: SOLVED 0.726491s
tsp_external tsplib/ch150 train seed=4: SOLVED 0.161979s
tsp_external tsplib/ch150 train seed=5: SOLVED 0.129785s
tsp_external tsplib/ch150 train seed=6: SOLVED 0.149987s
tsp_external tsplib/ch150 train seed=7: SOLVED 0.152522s
tsp_external tsplib/d198 train seed=1: SOLVED 1.170471s
tsp_external tsplib/d198 train seed=2: SOLVED 0.571229s
